,,1-Aug-24,,
,,,,
MODEL,DESCRIPTION,LIST PRICE,,
J60-350,"Xtreme Power J60 Series 350VA/200W Standby UPS; 120VAC; C14 inlet with C13 to 5-15P (3ft) detachable power cord; (3) 5-15R output receptacles; Lithium  battery for longer life and up to 104 F operation without battery degradation; Battery Management System (BMS) insures cell voltage balancing, parallel current sharing, and overcharge/discharge protection; surge protection; Wall or Desk Mounting; UL, cUL, RoHS  and TAA compliant;   5-Year Full Warranty (USA and Canada), 3-Year Full Warranty (worldwide);   6.9""W x 8.5""D x 1.25""H, 3.4 lbs",$439.00 ,,
J60-600,"Xtreme Power J60 Series 600VA/360W Standby UPS; 120VAC; C14 inlet with C13 to 5-15P (3ft) detachable power cord; (3) 5-15R output receptacles; Lithium  battery for longer life and up to 104 F operation without battery degradation; redundant Battery Management System (BMS) insures cell voltage balancing, parallel current sharing, and overcharge/discharge protection; surge protection; Wall or Desk Mounting; UL, cUL, RoHS and TAA  compliant;   5-Year Full Warranty (USA and Canada), 3-Year Full Warranty (worldwide);   7.3""W x 10.8""D x 1.6""H, 4.7 lbs",$749.00 ,,
J60i-350,"Xtreme Power J60i Series 350VA/200W Standby UPS; 230VAC; C14 inlet; (2) IEC C13 output receptacles; Lithium  battery for longer life and up to 104 F operation without battery degradation;  Battery Management System (BMS) insures cell voltage balancing, parallel current sharing, and overcharge/discharge protection; surge protection; Wall or Desk Mounting; CE, RoHS and TAA compliant;   5-Year Full Warranty (USA and Canada), 3-Year Full Warranty that includes one way shipment (worldwide);   6.9""W x 8.5""D x 1.25""H, 3.4 lbs",$439.00 ,,
J60i-600,"Xtreme Power J60i Series 600VA/360W Standby UPS; 230VAC; C14 inlet; (2) IEC C13 output receptacles; Lithium  battery for longer life and up to 104 F operation without battery degradation;  redundant Battery Management System (BMS) insures cell voltage balancing, parallel current sharing, and overcharge/discharge protection; surge protection; Wall or Desk Mounting; CE, RoHS and TAA compliant;   5-Year Full Warranty with  ground shipment one way (USA and Canada), 3-Year Full Warranty  (worldwide);  7.3""W x 10.8""D x 1.6""H, 4.7 lbs",$749.00 ,,
J60C-600,"Xtreme Power J60C Series 600VA/360W Lithium Ion UPS; 1U; 120VAC; detachable 6' input line cord with 5-15P; (5) 5-15R output receptacles, (4 battery backup, 1 surge only); Full Load Runtime = 6 min; up to 98% efficiency; Tower, Wall, or Rack mounting; Smart LCD display; Intelligent slot; USB port; UL, cTUVus, RoHSCE, RoHS, FCC , TAA Compliant; 5 year electronic warranty, 5 year battery warranty (USA and Canada), 3 year Warranty (worldwide); 17.2"" x 8.5"" x 1.7""; 7.8 lbs",$835.00 ,,
J60Ci-600,"Xtreme Power J60Ci Series 600VA/360W Lithium Ion UPS; 1U; 230VAC; IEC C14 Inlet; (5) C13 output receptacles, (4 battery backup, 1 surge only); Full Load Runtime = 6 min; up to 98% efficiency; Tower, Wall, or Rack mounting; Smart LCD display; Intelligent slot; USB port; CE, RoHS, TAA Compliant; 5 year electronic warranty, 5 year battery warranty (USA and Canada), 3 year Warranty (worldwide); 17.2"" x 8.5"" x 1.7""; 7.8 lbs",$835.00 ,,
JX-200,"J60 200W Isolation Transformer, 120 VAC, 50/60Hz, C14 inlet with removeable  5-15P line cord; (3) 5-15R output receptacles; 5A output  breaker;  complete line isolation; Common Mode and Normal Mode noise filtering; 300 joules surge suppression; UL16950, RoHS; 5-Year Full Warranty; 6.9"" W x 8.5"" D x 1.25"" H; 6.6 lbs.  ",$220.00 ,,
